"Date","Price","Open","High","Low","Change %"
"Feb 26, 2021","6.4855","6.5003","6.5061","6.4650","-0.03%"
"Feb 25, 2021","6.4877","6.4461","6.4971","6.4427","0.64%"
"Feb 24, 2021","6.4465","6.4587","6.4648","6.4377","-0.17%"
"Feb 23, 2021","6.4577","6.4651","6.4740","6.4515","-0.11%"
"Feb 22, 2021","6.4650","6.4582","6.4759","6.4412","0.10%"
"Feb 19, 2021","6.4583","6.4584","6.4678","6.4404","-0.01%"
"Feb 18, 2021","6.4592","6.4335","6.4712","6.4286","0.39%"
"Feb 17, 2021","6.4344","6.4243","6.4500","6.4227","0.16%"
"Feb 16, 2021","6.4243","6.4042","6.4297","6.3987","0.31%"
"Feb 15, 2021","6.4044","6.4194","6.4232","6.3978","-0.23%"
"Feb 12, 2021","6.4194","6.4225","6.4377","6.4172","-0.05%"
"Feb 11, 2021","6.4225","6.4279","6.4340","6.4160","-0.08%"
"Feb 10, 2021","6.4274","6.4178","6.4334","6.4118","0.15%"
"Feb 09, 2021","6.4177","6.4392","6.4488","6.4165","-0.35%"
"Feb 08, 2021","6.4400","6.4560","6.4626","6.4378","-0.23%"
"Feb 05, 2021","6.4549","6.4711","6.4879","6.4546","-0.25%"
"Feb 04, 2021","6.4709","6.4576","6.4783","6.4556","0.22%"
"Feb 03, 2021","6.4569","6.4575","6.4677","6.4531","-0.01%"
"Feb 02, 2021","6.4575","6.4745","6.4754","6.4525","-0.27%"
"Feb 01, 2021","6.4748","6.4459","6.4791","6.4417","0.45%"
"Jan 29, 2021","6.4459","6.4730","6.4810","6.4385","-0.40%"
"Jan 28, 2021","6.4719","6.4948","6.5149","6.4678","-0.37%"
"Jan 27, 2021","6.4962","6.4715","6.5005","6.4656","0.38%"
"Jan 26, 2021","6.4718","6.4857","6.4903","6.4664","-0.21%"
"Jan 25, 2021","6.4854","6.4936","6.4970","6.4793","-0.14%"
"Jan 22, 2021","6.4945","6.4630","6.4992","6.4617","0.48%"
"Jan 21, 2021","6.4633","6.4606","6.4704","6.4529","0.04%"
"Jan 20, 2021","6.4609","6.4798","6.4820","6.4585","-0.27%"
"Jan 19, 2021","6.4787","6.4951","6.4983","6.4713","-0.26%"
"Jan 18, 2021","6.4958","6.4831","6.5073","6.4750","0.18%"
"Jan 15, 2021","6.4841","6.4636","6.4859","6.4602","0.32%"
"Jan 14, 2021","6.4633","6.4648","6.4772","6.4564","-0.02%"
"Jan 13, 2021","6.4645","6.4420","6.4698","6.4376","0.35%"
"Jan 12, 2021","6.4419","6.4798","6.4798","6.4403","-0.56%"
"Jan 11, 2021","6.4782","6.4626","6.4903","6.4602","0.23%"
"Jan 08, 2021","6.4632","6.4704","6.4769","6.4514","-0.10%"
"Jan 07, 2021","6.4699","6.4481","6.4777","6.4346","0.33%"
"Jan 06, 2021","6.4487","6.4355","6.4573","6.4235","0.20%"
"Jan 05, 2021","6.4357","6.4536","6.4577","6.4108","-0.29%"
"Jan 04, 2021","6.4541","6.5040","6.5040","6.4390","-0.75%"
"Jan 01, 2021","6.5028","6.5020","6.5054","6.4963","0.02%"
"Dec 31, 2020","6.5017","6.5048","6.5169","6.4870","-0.05%"
"Dec 30, 2020","6.5049","6.5161","6.5239","6.4999","-0.19%"
"Dec 29, 2020","6.5170","6.5318","6.5338","6.5122","-0.23%"
"Dec 28, 2020","6.5321","6.5172","6.5366","6.5115","0.24%"
"Dec 25, 2020","6.5163","6.5153","6.5241","6.4990","-0.01%"
"Dec 24, 2020","6.5169","6.5321","6.5344","6.5119","-0.23%"
"Dec 23, 2020","6.5318","6.5388","6.5471","6.5183","-0.11%"
"Dec 22, 2020","6.5392","6.5340","6.5479","6.5277","0.09%"
"Dec 21, 2020","6.5332","6.5199","6.5530","6.5164","0.23%"
"Dec 18, 2020","6.5182","6.5160","6.5327","6.5097","0.03%"
"Dec 17, 2020","6.5165","6.5107","6.5170","6.4980","0.08%"
"Dec 16, 2020","6.5111","6.5160","6.5287","6.5033","-0.08%"
"Dec 15, 2020","6.5162","6.5285","6.5448","6.5145","-0.19%"
"Dec 14, 2020","6.5285","6.5371","6.5380","6.5154","-0.14%"
"Dec 11, 2020","6.5378","6.5346","6.5416","6.5198","0.05%"
"Dec 10, 2020","6.5344","6.5280","6.5460","6.5223","0.11%"
"Dec 09, 2020","6.5269","6.5185","6.5416","6.4952","0.11%"
"Dec 08, 2020","6.5195","6.5189","6.5269","6.5061","0.03%"
"Dec 07, 2020","6.5174","6.5154","6.5353","6.5083","0.02%"
"Dec 04, 2020","6.5163","6.5348","6.5422","6.5057","-0.28%"
"Dec 03, 2020","6.5346","6.5425","6.5534","6.5236","-0.13%"
"Dec 02, 2020","6.5431","6.5506","6.5623","6.5397","-0.11%"
"Dec 01, 2020","6.5501","6.5820","6.5835","6.5468","-0.50%"
"Nov 30, 2020","6.5827","6.5737","6.5875","6.5640","0.12%"
"Nov 27, 2020","6.5746","6.5682","6.5803","6.5622","0.10%"
"Nov 26, 2020","6.5682","6.5620","6.5733","6.5536","0.09%"
"Nov 25, 2020","6.5622","6.5744","6.5829","6.5597","-0.18%"
"Nov 24, 2020","6.5743","6.5787","6.5970","6.5678","-0.07%"
"Nov 23, 2020","6.5787","6.5504","6.5882","6.5429","0.43%"
"Nov 20, 2020","6.5506","6.5766","6.5794","6.5492","-0.39%"
"Nov 19, 2020","6.5763","6.5602","6.5910","6.5549","0.24%"
"Nov 18, 2020","6.5605","6.5462","6.5670","6.5313","0.20%"
"Nov 17, 2020","6.5472","6.5715","6.5740","6.5436","-0.36%"
"Nov 16, 2020","6.5708","6.6008","6.6015","6.5644","-0.33%"
